Wall time,Step,Value
1692393190.1471841,36826,-0.4352000951766968
1692393210.6319911,36851,-0.3808803856372833
1692393254.212285,36908,-0.45656195282936096
1692393364.7303445,37054,-0.5599312782287598
1692393455.221133,37170,-0.4031899571418762
1692393483.417648,37203,-0.3259851336479187
1692393564.9294794,37312,-0.4304335117340088
1692393574.088228,37318,-0.3874886631965637
1692393580.5073195,37327,-0.8022360801696777
1692393681.1206276,37456,-0.6243259906768799
1692393704.6309044,37490,-0.3610619902610779
1692393904.2283728,37746,-0.4534203112125397
1692393922.5858018,37765,-0.3412618935108185
1692393958.0570116,37808,-0.4492592215538025
1692394011.0964074,37877,-0.36991122364997864
1692394177.2721977,38092,-0.44156020879745483
1692394258.820058,38193,-0.4078570008277893
1692394302.2289412,38248,-0.4417712986469269
1692394313.0602067,38263,-0.4127991199493408
1692394366.5822756,38332,-0.5351200699806213
1692394389.9275463,38366,-0.35868924856185913
1692394450.7692819,38440,-0.4242584705352783
